date,os-se,count-nombre
2021-04-21,android,<20
2021-04-21,ios,<20
2021-04-22,android,<20
2021-04-22,ios,<20
2021-04-23,android,<20
2021-04-23,ios,<20
2021-04-24,android,<20
2021-04-24,ios,<20
2021-04-25,android,<20
2021-04-25,ios,<20
2021-04-26,android,<20
2021-04-26,ios,<20
2021-04-27,android,<20
2021-04-27,ios,<20
2021-04-28,android,<20
2021-04-28,ios,<20
2021-04-29,android,23
2021-04-29,ios,<20
2021-04-30,android,<20
2021-04-30,ios,<20
2021-05-01,android,<20
2021-05-01,ios,<20
2021-05-02,android,<20
2021-05-02,ios,<20
2021-05-03,android,<20
2021-05-03,ios,<20
2021-05-04,android,<20
2021-05-04,ios,<20
2021-05-05,android,<20
2021-05-05,ios,<20
2021-05-06,android,<20
2021-05-06,ios,47
2021-05-07,android,<20
2021-05-07,ios,47
2021-05-08,android,<20
2021-05-08,ios,43
2021-05-09,android,<20
2021-05-09,ios,43
2021-05-10,android,<20
2021-05-10,ios,41
2021-05-11,android,<20
2021-05-11,ios,44
2021-05-12,android,<20
2021-05-12,ios,44
2021-05-13,android,<20
2021-05-13,ios,42
2021-05-14,android,<20
2021-05-14,ios,33
2021-05-15,android,<20
2021-05-15,ios,34
2021-05-16,android,<20
2021-05-16,ios,25
2021-05-17,android,<20
2021-05-17,ios,42
2021-05-18,android,<20
2021-05-18,ios,120
2021-05-19,android,<20
2021-05-19,ios,20859
2021-05-20,android,<20
2021-05-20,ios,826985
2021-05-21,android,<20
2021-05-21,ios,2197677
2021-05-22,android,<20
2021-05-22,ios,2175264
2021-05-23,android,<20
2021-05-23,ios,879159
2021-05-24,android,<20
2021-05-24,ios,299193
2021-05-25,android,<20
2021-05-25,ios,188028
2021-05-26,android,<20
2021-05-26,ios,128903
2021-05-27,android,<20
2021-05-27,ios,85270
2021-05-28,android,<20
2021-05-28,ios,62925
2021-05-29,android,<20
2021-05-29,ios,50591
2021-05-30,android,<20
2021-05-30,ios,43423
2021-05-31,android,<20
2021-05-31,ios,38540
2021-06-01,android,<20
2021-06-01,ios,33483
2021-06-02,android,<20
2021-06-02,ios,28965
2021-06-03,android,<20
2021-06-03,ios,25877
2021-06-04,android,<20
2021-06-04,ios,22721
2021-06-05,android,<20
2021-06-05,ios,20469
2021-06-06,android,<20
2021-06-06,ios,18904
2021-06-07,android,<20
2021-06-07,ios,18122
2021-06-08,android,<20
2021-06-08,ios,16837
2021-06-09,android,<20
2021-06-09,ios,15783
2021-06-10,android,<20
2021-06-10,ios,14510
2021-06-11,android,<20
2021-06-11,ios,13533
2021-06-12,android,<20
2021-06-12,ios,12314
2021-06-13,android,<20
2021-06-13,ios,11875
2021-06-14,android,<20
2021-06-14,ios,11638
2021-06-15,android,<20
2021-06-15,ios,11378
2021-06-16,android,<20
2021-06-16,ios,10657
2021-06-17,android,<20
2021-06-17,ios,10091
2021-06-18,android,<20
2021-06-18,ios,9642
2021-06-19,android,<20
2021-06-19,ios,9211
2021-06-20,android,<20
2021-06-20,ios,8951
2021-06-21,android,<20
2021-06-21,ios,8718
2021-06-22,android,<20
2021-06-22,ios,8496
2021-06-23,android,<20
2021-06-23,ios,8228
2021-06-24,android,<20
2021-06-24,ios,7925
2021-06-25,android,<20
2021-06-25,ios,7605
2021-06-26,android,<20
2021-06-26,ios,7314
2021-06-27,android,<20
2021-06-27,ios,7033
2021-06-28,android,<20
2021-06-28,ios,6901
2021-06-29,android,<20
2021-06-29,ios,6469
2021-06-30,android,<20
2021-06-30,ios,6337
2021-07-01,android,<20
2021-07-01,ios,6011
2021-07-02,android,<20
2021-07-02,ios,5997
2021-07-03,android,<20
2021-07-03,ios,5662
2021-07-04,android,<20
2021-07-04,ios,5615
2021-07-05,android,<20
2021-07-05,ios,5626
