date,os-se,count-nombre
2021-06-28,android,<20
2021-06-28,ios,<20
2021-06-29,android,<20
2021-06-29,ios,<20
2021-06-30,android,<20
2021-06-30,ios,<20
2021-07-01,android,<20
2021-07-01,ios,<20
2021-07-02,android,<20
2021-07-02,ios,<20
2021-07-03,android,<20
2021-07-03,ios,<20
2021-07-04,android,<20
2021-07-04,ios,<20
2021-07-05,android,<20
2021-07-05,ios,<20
2021-07-06,android,<20
2021-07-06,ios,<20
2021-07-07,android,<20
2021-07-07,ios,<20
2021-07-08,android,<20
2021-07-08,ios,150
2021-07-09,android,<20
2021-07-09,ios,<20
