date,region,count-nombre
2021-02-28,AB,<20
2021-02-28,BC,<20
2021-02-28,MB,<20
2021-02-28,NB,<20
2021-02-28,NL,<20
2021-02-28,NT,<20
2021-02-28,NS,<20
2021-02-28,NU,<20
2021-02-28,ON,<20
2021-02-28,PE,<20
2021-02-28,QC,<20
2021-02-28,SK,<20
2021-02-28,YT,<20
2021-02-28,npts-ptso,<20
2021-03-31,AB,<20
2021-03-31,BC,<20
2021-03-31,MB,<20
2021-03-31,NB,<20
2021-03-31,NL,<20
2021-03-31,NT,<20
2021-03-31,NS,<20
2021-03-31,NU,<20
2021-03-31,ON,<20
2021-03-31,PE,<20
2021-03-31,QC,<20
2021-03-31,SK,<20
2021-03-31,YT,<20
2021-03-31,npts-ptso,<20
2021-04-30,AB,<20
2021-04-30,BC,<20
2021-04-30,MB,<20
2021-04-30,NB,<20
2021-04-30,NL,<20
2021-04-30,NT,<20
2021-04-30,NS,<20
2021-04-30,NU,<20
2021-04-30,ON,<20
2021-04-30,PE,<20
2021-04-30,QC,<20
2021-04-30,SK,<20
2021-04-30,YT,<20
2021-04-30,npts-ptso,<20
2021-05-31,AB,10881
2021-05-31,BC,20408
2021-05-31,MB,15438
2021-05-31,NB,6783
2021-05-31,NL,14223
2021-05-31,NT,322
2021-05-31,NS,12253
2021-05-31,NU,79
2021-05-31,ON,68568
2021-05-31,PE,2203
2021-05-31,QC,35327
2021-05-31,SK,9006
2021-05-31,YT,123
2021-05-31,npts-ptso,9250
2021-06-30,AB,168
2021-06-30,BC,331
2021-06-30,MB,255
2021-06-30,NB,127
2021-06-30,NL,208
2021-06-30,NT,<20
2021-06-30,NS,239
2021-06-30,NU,<20
2021-06-30,ON,3052
2021-06-30,PE,36
2021-06-30,QC,1178
2021-06-30,SK,179
2021-06-30,YT,<20
2021-06-30,npts-ptso,453
2021-07-31,AB,60
2021-07-31,BC,121
2021-07-31,MB,82
2021-07-31,NB,35
2021-07-31,NL,69
2021-07-31,NT,<20
2021-07-31,NS,99
2021-07-31,NU,<20
2021-07-31,ON,1196
2021-07-31,PE,<20
2021-07-31,QC,398
2021-07-31,SK,62
2021-07-31,YT,<20
2021-07-31,npts-ptso,231
2021-08-31,AB,45
2021-08-31,BC,75
2021-08-31,MB,52
2021-08-31,NB,23
2021-08-31,NL,39
2021-08-31,NT,<20
2021-08-31,NS,67
2021-08-31,NU,<20
2021-08-31,ON,808
2021-08-31,PE,<20
2021-08-31,QC,243
2021-08-31,SK,41
2021-08-31,YT,<20
2021-08-31,npts-ptso,160
