date,number_of_checks-no_verification,count-nombre
2021-03-31,0,<20
2021-03-31,1-6,<20
2021-03-31,7-12,<20
2021-03-31,13-30,<20
2021-03-31,30+,<20
2021-04-30,0,<20
2021-04-30,1-6,<20
2021-04-30,7-12,31
2021-04-30,13-30,<20
2021-04-30,30+,<20
2021-05-31,0,<20
2021-05-31,1-6,107
2021-05-31,7-12,158
2021-05-31,13-30,49
2021-05-31,30+,<20
2021-06-30,0,<20
2021-06-30,1-6,58
2021-06-30,7-12,87
2021-06-30,13-30,<20
2021-06-30,30+,<20
2021-07-31,0,<20
2021-07-31,1-6,96
2021-07-31,7-12,176
2021-07-31,13-30,<20
2021-07-31,30+,<20
2021-08-31,0,<20
2021-08-31,1-6,125
2021-08-31,7-12,150
2021-08-31,13-30,<20
2021-08-31,30+,<20
