date,number_of_checks-no_verification,os-se,count-nombre
2021-03-31,0,android,<20
2021-03-31,0,ios,<20
2021-03-31,1-6,android,<20
2021-03-31,1-6,ios,<20
2021-03-31,7-12,android,<20
2021-03-31,7-12,ios,<20
2021-03-31,13-30,android,<20
2021-03-31,13-30,ios,<20
2021-03-31,30+,android,<20
2021-03-31,30+,ios,<20
2021-04-30,0,android,<20
2021-04-30,0,ios,<20
2021-04-30,1-6,android,<20
2021-04-30,1-6,ios,<20
2021-04-30,7-12,android,<20
2021-04-30,7-12,ios,23
2021-04-30,13-30,android,<20
2021-04-30,13-30,ios,<20
2021-04-30,30+,android,<20
2021-04-30,30+,ios,<20
2021-05-31,0,android,<20
2021-05-31,0,ios,<20
2021-05-31,1-6,android,31
2021-05-31,1-6,ios,76
2021-05-31,7-12,android,<20
2021-05-31,7-12,ios,138
2021-05-31,13-30,android,24
2021-05-31,13-30,ios,25
2021-05-31,30+,android,<20
2021-05-31,30+,ios,<20
2021-06-30,0,android,<20
2021-06-30,0,ios,<20
2021-06-30,1-6,android,<20
2021-06-30,1-6,ios,38
2021-06-30,7-12,android,<20
2021-06-30,7-12,ios,56
2021-06-30,13-30,android,<20
2021-06-30,13-30,ios,<20
2021-06-30,30+,android,<20
2021-06-30,30+,ios,<20
2021-07-31,0,android,<20
2021-07-31,0,ios,<20
2021-07-31,1-6,android,24
2021-07-31,1-6,ios,59
2021-07-31,7-12,android,<20
2021-07-31,7-12,ios,159
2021-07-31,13-30,android,<20
2021-07-31,13-30,ios,<20
2021-07-31,30+,android,<20
2021-07-31,30+,ios,<20
2021-08-31,0,android,<20
2021-08-31,0,ios,<20
2021-08-31,1-6,android,40
2021-08-31,1-6,ios,80
2021-08-31,7-12,android,<20
2021-08-31,7-12,ios,138
2021-08-31,13-30,android,<20
2021-08-31,13-30,ios,<20
2021-08-31,30+,android,<20
2021-08-31,30+,ios,<20
