date,number_of_checks-no_verification,os-se,app_version-version_appli,count-nombre
2021-03-31,1-6,android,1.2.2,<20
2021-03-31,1-6,android,1.2.4,<20
2021-03-31,1-6,android,9.9.9,26
2021-03-31,1-6,ios,9.9.9,27
2021-03-31,13-30,android,1.2.2,<20
2021-03-31,13-30,android,1.2.4,<20
2021-03-31,13-30,android,9.9.9,28
2021-03-31,30+,android,1.2.2,<20
2021-03-31,30+,android,1.2.4,<20
2021-03-31,30+,android,9.9.9,<20
2021-03-31,7-12,android,1.2.2,<20
2021-03-31,7-12,android,1.2.4,<20
2021-03-31,7-12,android,9.9.9,<20
2021-03-31,7-12,ios,9.9.9,54
2021-04-30,1-6,android,1.2.7,<20
2021-04-30,1-6,android,9.9.9,<20
2021-04-30,1-6,ios,1.2.7,<20
2021-04-30,1-6,ios,1.2.9,<20
2021-04-30,1-6,ios,9.9.9,45
2021-04-30,13-30,android,1.2.0,<20
2021-04-30,13-30,android,1.2.6,<20
2021-04-30,13-30,android,1.2.7,<20
2021-04-30,13-30,android,9.9.9,<20
2021-04-30,13-30,ios,1.2.7,<20
2021-04-30,13-30,ios,1.2.9,<20
2021-04-30,13-30,ios,9.9.9,<20
2021-04-30,30+,android,1.2.8,<20
2021-04-30,30+,android,9.9.9,<20
2021-04-30,30+,ios,9.9.9,<20
2021-04-30,7-12,android,1.2.6,<20
2021-04-30,7-12,android,1.2.7,<20
2021-04-30,7-12,android,1.2.8,<20
2021-04-30,7-12,android,9.9.9,<20
2021-04-30,7-12,ios,1.2.1,<20
2021-04-30,7-12,ios,1.2.7,20
2021-04-30,7-12,ios,1.2.9,<20
2021-04-30,7-12,ios,9.9.9,120
