date,exposure_status-etat_verification,count-nombre
2021-03-31,exposed-expose,<20
2021-03-31,monitoring-surveillance,<20
2021-04-30,exposed-expose,79
2021-04-30,monitoring-surveillance,<20
2021-05-31,exposed-expose,231
2021-05-31,monitoring-surveillance,58
2021-06-30,exposed-expose,308
2021-06-30,monitoring-surveillance,45
2021-07-31,exposed-expose,151
2021-07-31,monitoring-surveillance,23
2021-08-31,exposed-expose,58
2021-08-31,monitoring-surveillance,24
2021-09-30,exposed-expose,58
2021-09-30,monitoring-surveillance,<20
2021-10-31,exposed-expose,<20
2021-10-31,monitoring-surveillance,<20
