date,region,exposure_status-etat_verification,count-nombre
2021-03-31,AB,exposed,0
2021-03-31,AB,monitoring,0
2021-03-31,BC,exposed,0
2021-03-31,BC,monitoring,0
2021-03-31,MB,exposed,0
2021-03-31,MB,monitoring,0
2021-03-31,NB,exposed,0
2021-03-31,NB,monitoring,0
2021-03-31,NL,exposed,0
2021-03-31,NL,monitoring,0
2021-03-31,NT,exposed,0
2021-03-31,NT,monitoring,0
2021-03-31,NS,exposed,1
2021-03-31,NS,monitoring,0
2021-03-31,NU,exposed,0
2021-03-31,NU,monitoring,0
2021-03-31,ON,exposed,46
2021-03-31,ON,monitoring,10
2021-03-31,PE,exposed,0
2021-03-31,PE,monitoring,0
2021-03-31,QC,exposed,0
2021-03-31,QC,monitoring,0
2021-03-31,SK,exposed,0
2021-03-31,SK,monitoring,0
2021-03-31,YT,exposed,0
2021-03-31,YT,monitoring,0
2021-03-31,NPTS,exposed,0
2021-03-31,NPTS,monitoring,0
2021-04-30,AB,exposed,0
2021-04-30,AB,monitoring,0
2021-04-30,BC,exposed,0
2021-04-30,BC,monitoring,0
2021-04-30,MB,exposed,0
2021-04-30,MB,monitoring,0
2021-04-30,NB,exposed,0
2021-04-30,NB,monitoring,0
2021-04-30,NL,exposed,0
2021-04-30,NL,monitoring,0
2021-04-30,NT,exposed,0
2021-04-30,NT,monitoring,0
2021-04-30,NS,exposed,0
2021-04-30,NS,monitoring,0
2021-04-30,NU,exposed,0
2021-04-30,NU,monitoring,0
2021-04-30,ON,exposed,194
2021-04-30,ON,monitoring,25
2021-04-30,PE,exposed,0
2021-04-30,PE,monitoring,0
2021-04-30,QC,exposed,0
2021-04-30,QC,monitoring,0
2021-04-30,SK,exposed,0
2021-04-30,SK,monitoring,0
2021-04-30,YT,exposed,0
2021-04-30,YT,monitoring,0
2021-04-30,NPTS,exposed,0
2021-04-30,NPTS,monitoring,0
