date,framework_status-etat_cadre,notification_permission-permission_notif,count-nombre
2021-02-28,enabled-active,blocked-bloque,<20
2021-02-28,enabled-active,granted-autorise,<20
2021-02-28,enabled-active,denied-refuse,<20
2021-02-28,disabled-desactive,blocked-bloque,<20
2021-02-28,disabled-desactive,granted-autorise,<20
2021-02-28,disabled-desactive,denied-refuse,<20
2021-03-31,enabled-active,blocked-bloque,<20
2021-03-31,enabled-active,granted-autorise,151
2021-03-31,enabled-active,denied-refuse,<20
2021-03-31,disabled-desactive,blocked-bloque,<20
2021-03-31,disabled-desactive,granted-autorise,24
2021-03-31,disabled-desactive,denied-refuse,<20
2021-04-30,enabled-active,blocked-bloque,<20
2021-04-30,enabled-active,granted-autorise,118
2021-04-30,enabled-active,denied-refuse,<20
2021-04-30,disabled-desactive,blocked-bloque,<20
2021-04-30,disabled-desactive,granted-autorise,32
2021-04-30,disabled-desactive,denied-refuse,<20
2021-05-31,enabled-active,blocked-bloque,<20
2021-05-31,enabled-active,granted-autorise,197
2021-05-31,enabled-active,denied-refuse,<20
2021-05-31,disabled-desactive,blocked-bloque,<20
2021-05-31,disabled-desactive,granted-autorise,46
2021-05-31,disabled-desactive,denied-refuse,<20
2021-06-30,enabled-active,blocked-bloque,<20
2021-06-30,enabled-active,granted-autorise,104
2021-06-30,enabled-active,denied-refuse,<20
2021-06-30,disabled-desactive,blocked-bloque,<20
2021-06-30,disabled-desactive,granted-autorise,37
2021-06-30,disabled-desactive,denied-refuse,<20
