date,region,count-nombre
2020-10-31,AB,<20
2020-10-31,BC,<20
2020-10-31,MB,<20
2020-10-31,NB,<20
2020-10-31,NL,<20
2020-10-31,NT,<20
2020-10-31,NS,<20
2020-10-31,NU,<20
2020-10-31,ON,<20
2020-10-31,PE,<20
2020-10-31,QC,<20
2020-10-31,SK,<20
2020-10-31,YT,<20
2020-10-31,npts-ptso,170
2020-11-30,AB,<20
2020-11-30,BC,<20
2020-11-30,MB,<20
2020-11-30,NB,<20
2020-11-30,NL,<20
2020-11-30,NT,<20
2020-11-30,NS,<20
2020-11-30,NU,<20
2020-11-30,ON,<20
2020-11-30,PE,<20
2020-11-30,QC,<20
2020-11-30,SK,<20
2020-11-30,YT,<20
2020-11-30,npts-ptso,53
2020-12-31,AB,<20
2020-12-31,BC,<20
2020-12-31,MB,<20
2020-12-31,NB,<20
2020-12-31,NL,<20
2020-12-31,NT,<20
2020-12-31,NS,<20
2020-12-31,NU,<20
2020-12-31,ON,<20
2020-12-31,PE,<20
2020-12-31,QC,<20
2020-12-31,SK,<20
2020-12-31,YT,<20
2020-12-31,npts-ptso,2015
2021-01-31,AB,<20
2021-01-31,BC,<20
2021-01-31,MB,<20
2021-01-31,NB,<20
2021-01-31,NL,<20
2021-01-31,NT,<20
2021-01-31,NS,<20
2021-01-31,NU,<20
2021-01-31,ON,<20
2021-01-31,PE,<20
2021-01-31,QC,<20
2021-01-31,SK,<20
2021-01-31,YT,<20
2021-01-31,npts-ptso,274
2021-02-28,AB,<20
2021-02-28,BC,<20
2021-02-28,MB,<20
2021-02-28,NB,<20
2021-02-28,NL,<20
2021-02-28,NT,<20
2021-02-28,NS,<20
2021-02-28,NU,<20
2021-02-28,ON,<20
2021-02-28,PE,<20
2021-02-28,QC,<20
2021-02-28,SK,<20
2021-02-28,YT,<20
2021-02-28,npts-ptso,65
2021-03-31,AB,<20
2021-03-31,BC,<20
2021-03-31,MB,<20
2021-03-31,NB,<20
2021-03-31,NL,<20
2021-03-31,NT,<20
2021-03-31,NS,<20
2021-03-31,NU,<20
2021-03-31,ON,<20
2021-03-31,PE,<20
2021-03-31,QC,<20
2021-03-31,SK,<20
2021-03-31,YT,<20
2021-03-31,npts-ptso,53
2021-04-30,AB,<20
2021-04-30,BC,<20
2021-04-30,MB,<20
2021-04-30,NB,<20
2021-04-30,NL,<20
2021-04-30,NT,<20
2021-04-30,NS,<20
2021-04-30,NU,<20
2021-04-30,ON,<20
2021-04-30,PE,<20
2021-04-30,QC,<20
2021-04-30,SK,<20
2021-04-30,YT,<20
2021-04-30,npts-ptso,25
2021-05-31,AB,<20
2021-05-31,BC,<20
2021-05-31,MB,<20
2021-05-31,NB,<20
2021-05-31,NL,<20
2021-05-31,NT,<20
2021-05-31,NS,<20
2021-05-31,NU,<20
2021-05-31,ON,<20
2021-05-31,PE,<20
2021-05-31,QC,<20
2021-05-31,SK,<20
2021-05-31,YT,<20
2021-05-31,npts-ptso,69
2021-06-30,AB,<20
2021-06-30,BC,<20
2021-06-30,MB,<20
2021-06-30,NB,<20
2021-06-30,NL,<20
2021-06-30,NT,<20
2021-06-30,NS,<20
2021-06-30,NU,<20
2021-06-30,ON,<20
2021-06-30,PE,<20
2021-06-30,QC,<20
2021-06-30,SK,<20
2021-06-30,YT,<20
2021-06-30,npts-ptso,69
2021-07-31,AB,<20
2021-07-31,BC,<20
2021-07-31,MB,<20
2021-07-31,NB,<20
2021-07-31,NL,<20
2021-07-31,NT,<20
2021-07-31,NS,<20
2021-07-31,NU,<20
2021-07-31,ON,<20
2021-07-31,PE,<20
2021-07-31,QC,<20
2021-07-31,SK,<20
2021-07-31,YT,<20
2021-07-31,npts-ptso,<20
2021-08-31,AB,<20
2021-08-31,BC,<20
2021-08-31,MB,<20
2021-08-31,NB,<20
2021-08-31,NL,<20
2021-08-31,NT,<20
2021-08-31,NS,<20
2021-08-31,NU,<20
2021-08-31,ON,<20
2021-08-31,PE,<20
2021-08-31,QC,<20
2021-08-31,SK,<20
2021-08-31,YT,<20
2021-08-31,npts-ptso,<20
