date,os-se,count-nombre
2021-05-02,android,<20
2021-05-02,ios,<20
2021-05-09,android,50
2021-05-09,ios,42
2021-05-16,android,84
2021-05-16,ios,74
2021-05-23,android,<20
2021-05-23,ios,<20
2021-05-30,android,<20
2021-05-30,ios,<20
2021-06-06,android,<20
2021-06-06,ios,<20
2021-06-13,android,<20
2021-06-13,ios,<20
2021-06-20,android,<20
2021-06-20,ios,<20
2021-06-27,android,33
2021-06-27,ios,31
2021-07-04,android,<20
2021-07-04,ios,<20
2021-07-11,android,<20
2021-07-11,ios,<20
2021-07-18,android,<20
2021-07-18,ios,<20
2021-07-25,android,<20
2021-07-25,ios,<20
2021-08-01,android,<20
2021-08-01,ios,<20
