date,count-nombre
2021-02-25,7
2021-02-26,12
2021-02-27,10
2021-02-28,8
2021-03-01,11
2021-03-02,8
2021-03-03,7
2021-03-04,11
2021-03-05,4
2021-03-06,3
2021-03-07,3
2021-03-08,3
2021-03-09,14
2021-03-10,8
2021-03-11,4
2021-03-12,13
2021-03-13,5
2021-03-14,4
2021-03-15,12
2021-03-16,36
2021-03-17,36
2021-03-18,31
2021-03-19,22
2021-03-20,6
2021-03-21,6
2021-03-22,11
2021-03-23,44
2021-03-24,53
2021-03-25,34
2021-03-26,23
2021-03-27,11
2021-03-28,11
2021-03-29,37
2021-03-30,45
2021-03-31,46
2021-04-01,20
2021-04-02,15
2021-04-03,11
2021-04-04,9
2021-04-05,9
2021-04-06,19
2021-04-07,35
2021-04-08,37
2021-04-09,44
2021-04-10,19
2021-04-11,15
2021-04-12,13
2021-04-13,16
2021-04-14,23
2021-04-15,17
2021-04-16,30
2021-04-17,15
2021-04-18,13
2021-04-19,17
2021-04-20,31
2021-04-21,19
2021-04-22,24
2021-04-23,19
2021-04-24,11
2021-04-25,12
2021-04-26,32
2021-04-27,37
2021-04-28,35
2021-04-29,87
2021-04-30,39
2021-05-01,16
2021-05-02,16
2021-05-03,61
2021-05-04,47
2021-05-05,43
2021-05-06,53
2021-05-07,37
2021-05-08,21
2021-05-09,20
2021-05-10,47
2021-05-11,80
2021-05-12,69
2021-05-13,37
2021-05-14,9
2021-05-15,7
2021-05-16,9
2021-05-17,52
2021-05-18,38
2021-05-19,48144
2021-05-20,1297916
2021-05-21,1459183
2021-05-22,1016164
2021-05-23,377432
2021-05-24,129841
2021-05-25,81677
2021-05-26,53952
2021-05-27,36183
2021-05-28,27613
2021-05-29,22077
2021-05-30,18664
2021-05-31,16583
2021-06-01,14536
2021-06-02,12857
2021-06-03,11489
2021-06-04,10667
2021-06-05,9585
2021-06-06,8692
2021-06-07,8541
2021-06-08,7956
2021-06-09,7307
2021-06-10,6717
2021-06-11,6372
2021-06-12,5825
2021-06-13,5549
2021-06-14,5418
2021-06-15,5290
2021-06-16,5084
2021-06-17,4801
2021-06-18,4667
2021-06-19,4456
2021-06-20,4230
2021-06-21,4224
2021-06-22,4181
2021-06-23,4024
2021-06-24,3896
2021-06-25,3734
2021-06-26,3577
2021-06-27,3461
2021-06-28,3490
