date,number_of_checks-no_verification,os-se,count-nombre
2021-03-05,0,android,<20
2021-03-05,0,ios,<20
2021-03-05,1-6,android,<20
2021-03-05,1-6,ios,<20
2021-03-05,7-12,android,<20
2021-03-05,7-12,ios,<20
2021-03-05,13-30,android,<20
2021-03-05,13-30,ios,<20
2021-03-05,30+,android,<20
2021-03-05,30+,ios,<20
2021-03-06,0,android,<20
2021-03-06,0,ios,<20
2021-03-06,1-6,android,<20
2021-03-06,1-6,ios,<20
2021-03-06,7-12,android,<20
2021-03-06,7-12,ios,<20
2021-03-06,13-30,android,<20
2021-03-06,13-30,ios,<20
2021-03-06,30+,android,<20
2021-03-06,30+,ios,<20
2021-03-07,0,android,<20
2021-03-07,0,ios,<20
2021-03-07,1-6,android,<20
2021-03-07,1-6,ios,<20
2021-03-07,7-12,android,<20
2021-03-07,7-12,ios,<20
2021-03-07,13-30,android,<20
2021-03-07,13-30,ios,<20
2021-03-07,30+,android,<20
2021-03-07,30+,ios,<20
2021-03-08,0,android,<20
2021-03-08,0,ios,<20
2021-03-08,1-6,android,<20
2021-03-08,1-6,ios,<20
2021-03-08,7-12,android,<20
2021-03-08,7-12,ios,<20
2021-03-08,13-30,android,<20
2021-03-08,13-30,ios,<20
2021-03-08,30+,android,<20
2021-03-08,30+,ios,<20
2021-03-09,0,android,<20
2021-03-09,0,ios,<20
2021-03-09,1-6,android,<20
2021-03-09,1-6,ios,<20
2021-03-09,7-12,android,<20
2021-03-09,7-12,ios,<20
2021-03-09,13-30,android,<20
2021-03-09,13-30,ios,<20
2021-03-09,30+,android,<20
2021-03-09,30+,ios,<20
2021-03-10,0,android,<20
2021-03-10,0,ios,<20
2021-03-10,1-6,android,<20
2021-03-10,1-6,ios,<20
2021-03-10,7-12,android,<20
2021-03-10,7-12,ios,<20
2021-03-10,13-30,android,<20
2021-03-10,13-30,ios,<20
2021-03-10,30+,android,<20
2021-03-10,30+,ios,<20
2021-03-11,0,android,<20
2021-03-11,0,ios,<20
2021-03-11,1-6,android,<20
2021-03-11,1-6,ios,<20
2021-03-11,7-12,android,<20
2021-03-11,7-12,ios,<20
2021-03-11,13-30,android,<20
2021-03-11,13-30,ios,<20
2021-03-11,30+,android,<20
2021-03-11,30+,ios,<20
2021-03-12,0,android,<20
2021-03-12,0,ios,<20
2021-03-12,1-6,android,<20
2021-03-12,1-6,ios,<20
2021-03-12,7-12,android,<20
2021-03-12,7-12,ios,<20
2021-03-12,13-30,android,<20
2021-03-12,13-30,ios,<20
2021-03-12,30+,android,<20
2021-03-12,30+,ios,<20
2021-03-13,0,android,<20
2021-03-13,0,ios,<20
2021-03-13,1-6,android,<20
2021-03-13,1-6,ios,<20
2021-03-13,7-12,android,<20
2021-03-13,7-12,ios,<20
2021-03-13,13-30,android,<20
2021-03-13,13-30,ios,<20
2021-03-13,30+,android,<20
2021-03-13,30+,ios,<20
2021-03-14,0,android,<20
2021-03-14,0,ios,<20
2021-03-14,1-6,android,<20
2021-03-14,1-6,ios,<20
2021-03-14,7-12,android,<20
2021-03-14,7-12,ios,<20
2021-03-14,13-30,android,<20
2021-03-14,13-30,ios,<20
2021-03-14,30+,android,<20
2021-03-14,30+,ios,<20
2021-03-15,0,android,<20
2021-03-15,0,ios,<20
