date,os-se,count-nombre
2021-04-21,android,3
2021-04-21,ios,0
2021-04-22,android,3
2021-04-22,ios,0
2021-04-23,android,2
2021-04-23,ios,0
2021-04-24,android,1
2021-04-24,ios,0
2021-04-25,android,1
2021-04-25,ios,0
2021-04-26,android,3
2021-04-26,ios,0
2021-04-27,android,5
2021-04-27,ios,0
2021-04-28,android,8
2021-04-28,ios,0
2021-04-29,android,35
2021-04-29,ios,0
2021-04-30,android,14
2021-04-30,ios,0
2021-05-01,android,7
2021-05-01,ios,0
2021-05-02,android,7
2021-05-02,ios,0
2021-05-03,android,16
2021-05-03,ios,1
2021-05-04,android,13
2021-05-04,ios,0
2021-05-05,android,8
2021-05-05,ios,3
2021-05-06,android,6
2021-05-06,ios,5
2021-05-07,android,7
2021-05-07,ios,3
2021-05-08,android,11
2021-05-08,ios,0
2021-05-09,android,9
2021-05-09,ios,0
2021-05-10,android,10
2021-05-10,ios,1
2021-05-11,android,13
2021-05-11,ios,5
2021-05-12,android,20
2021-05-12,ios,4
2021-05-13,android,11
2021-05-13,ios,3
2021-05-14,android,3
2021-05-14,ios,2
2021-05-15,android,3
2021-05-15,ios,0
2021-05-16,android,3
2021-05-16,ios,0
2021-05-17,android,8
2021-05-17,ios,5
2021-05-18,android,3
2021-05-18,ios,8
2021-05-19,android,3
2021-05-19,ios,2119
2021-05-20,android,6
2021-05-20,ios,13629
2021-05-21,android,8
2021-05-21,ios,13902
2021-05-22,android,8
2021-05-22,ios,9516
2021-05-23,android,7
2021-05-23,ios,2286
2021-05-24,android,6
2021-05-24,ios,1120
2021-05-25,android,6
2021-05-25,ios,740
2021-05-26,android,4
2021-05-26,ios,420
2021-05-27,android,2
2021-05-27,ios,346
2021-05-28,android,2
2021-05-28,ios,288
2021-05-29,android,2
2021-05-29,ios,231
2021-05-30,android,2
2021-05-30,ios,205
2021-05-31,android,2
2021-05-31,ios,199
2021-06-01,android,2
2021-06-01,ios,172
2021-06-02,android,2
2021-06-02,ios,178
2021-06-03,android,2
2021-06-03,ios,146
2021-06-04,android,2
2021-06-04,ios,148
2021-06-05,android,2
2021-06-05,ios,141
2021-06-06,android,2
2021-06-06,ios,119
2021-06-07,android,2
2021-06-07,ios,121
2021-06-08,android,2
2021-06-08,ios,119
2021-06-09,android,2
2021-06-09,ios,121
2021-06-10,android,2
2021-06-10,ios,118
2021-06-11,android,2
2021-06-11,ios,110
2021-06-12,android,2
2021-06-12,ios,93
2021-06-13,android,2
2021-06-13,ios,105
2021-06-14,android,4
2021-06-14,ios,97
2021-06-15,android,2
2021-06-15,ios,110
2021-06-16,android,2
2021-06-16,ios,92
2021-06-17,android,1
2021-06-17,ios,88
2021-06-18,android,2
2021-06-18,ios,87
2021-06-19,android,2
2021-06-19,ios,84
2021-06-20,android,2
2021-06-20,ios,75
2021-06-21,android,2
2021-06-21,ios,89
2021-06-22,android,5
2021-06-22,ios,89
2021-06-23,android,4
2021-06-23,ios,82
2021-06-24,android,3
2021-06-24,ios,86
2021-06-25,android,1
2021-06-25,ios,76
2021-06-26,android,1
2021-06-26,ios,79
2021-06-27,android,1
2021-06-27,ios,62
2021-06-28,android,0
2021-06-28,ios,66
2021-06-29,android,2
2021-06-29,ios,67
2021-06-30,android,1
2021-06-30,ios,74
2021-07-01,android,1
2021-07-01,ios,64
2021-07-02,android,2
2021-07-02,ios,69
2021-07-03,android,2
2021-07-03,ios,65
2021-07-04,android,2
2021-07-04,ios,60
2021-07-05,android,1
2021-07-05,ios,69
2021-07-06,android,0
2021-07-06,ios,68
2021-07-07,android,0
2021-07-07,ios,67
2021-07-08,android,1
2021-07-08,ios,65
2021-07-09,android,3
2021-07-09,ios,62
2021-07-10,android,1
2021-07-10,ios,60
2021-07-11,android,1
2021-07-11,ios,60
2021-07-12,android,1
2021-07-12,ios,62
2021-07-13,android,2
2021-07-13,ios,61
2021-07-14,android,1
2021-07-14,ios,58
2021-07-15,android,1
2021-07-15,ios,53
2021-07-16,android,1
2021-07-16,ios,55
2021-07-17,android,1
2021-07-17,ios,47
2021-07-18,android,1
2021-07-18,ios,50
2021-07-19,android,1
2021-07-19,ios,45
2021-07-20,android,1
2021-07-20,ios,50
2021-07-21,android,1
2021-07-21,ios,47
2021-07-22,android,2
2021-07-22,ios,44
2021-07-23,android,1
2021-07-23,ios,41
2021-07-24,android,1
2021-07-24,ios,45
2021-07-25,android,1
2021-07-25,ios,40
2021-07-26,android,1
2021-07-26,ios,42
2021-07-27,android,1
2021-07-27,ios,43
2021-07-28,android,0
2021-07-28,ios,42
2021-07-29,android,0
2021-07-29,ios,45
