date,framework_status-etat_cadre,notification_permission-permission_notif,count-nombre
2021-02-25,enabled-active,blocked-bloque,0
2021-02-25,enabled-active,granted-autorise,5
2021-02-25,enabled-active,denied-refuse,0
2021-02-25,disabled-desactive,blocked-bloque,0
2021-02-25,disabled-desactive,granted-autorise,0
2021-02-25,disabled-desactive,denied-refuse,0
2021-02-26,enabled-active,blocked-bloque,0
2021-02-26,enabled-active,granted-autorise,7
2021-02-26,enabled-active,denied-refuse,0
2021-02-26,disabled-desactive,blocked-bloque,0
2021-02-26,disabled-desactive,granted-autorise,10
2021-02-26,disabled-desactive,denied-refuse,0
2021-02-27,enabled-active,blocked-bloque,0
2021-02-27,enabled-active,granted-autorise,0
2021-02-27,enabled-active,denied-refuse,0
2021-02-27,disabled-desactive,blocked-bloque,0
2021-02-27,disabled-desactive,granted-autorise,0
2021-02-27,disabled-desactive,denied-refuse,0
2021-02-28,enabled-active,blocked-bloque,0
2021-02-28,enabled-active,granted-autorise,0
2021-02-28,enabled-active,denied-refuse,0
2021-02-28,disabled-desactive,blocked-bloque,0
2021-02-28,disabled-desactive,granted-autorise,0
2021-02-28,disabled-desactive,denied-refuse,0
2021-03-01,enabled-active,blocked-bloque,0
2021-03-01,enabled-active,granted-autorise,0
2021-03-01,enabled-active,denied-refuse,0
2021-03-01,disabled-desactive,blocked-bloque,0
2021-03-01,disabled-desactive,granted-autorise,0
2021-03-01,disabled-desactive,denied-refuse,0
2021-03-02,enabled-active,blocked-bloque,0
2021-03-02,enabled-active,granted-autorise,0
2021-03-02,enabled-active,denied-refuse,0
2021-03-02,disabled-desactive,blocked-bloque,0
2021-03-02,disabled-desactive,granted-autorise,0
2021-03-02,disabled-desactive,denied-refuse,0
2021-03-03,enabled-active,blocked-bloque,0
2021-03-03,enabled-active,granted-autorise,0
2021-03-03,enabled-active,denied-refuse,0
2021-03-03,disabled-desactive,blocked-bloque,0
2021-03-03,disabled-desactive,granted-autorise,0
2021-03-03,disabled-desactive,denied-refuse,0
2021-03-04,enabled-active,blocked-bloque,0
2021-03-04,enabled-active,granted-autorise,2
2021-03-04,enabled-active,denied-refuse,0
2021-03-04,disabled-desactive,blocked-bloque,0
2021-03-04,disabled-desactive,granted-autorise,0
2021-03-04,disabled-desactive,denied-refuse,0
2021-03-05,enabled-active,blocked-bloque,0
2021-03-05,enabled-active,granted-autorise,0
2021-03-05,enabled-active,denied-refuse,0
2021-03-05,disabled-desactive,blocked-bloque,0
2021-03-05,disabled-desactive,granted-autorise,0
2021-03-05,disabled-desactive,denied-refuse,0
2021-03-06,enabled-active,blocked-bloque,0
2021-03-06,enabled-active,granted-autorise,0
2021-03-06,enabled-active,denied-refuse,0
2021-03-06,disabled-desactive,blocked-bloque,0
2021-03-06,disabled-desactive,granted-autorise,0
2021-03-06,disabled-desactive,denied-refuse,0
2021-03-07,enabled-active,blocked-bloque,0
2021-03-07,enabled-active,granted-autorise,0
2021-03-07,enabled-active,denied-refuse,0
2021-03-07,disabled-desactive,blocked-bloque,0
2021-03-07,disabled-desactive,granted-autorise,0
2021-03-07,disabled-desactive,denied-refuse,0
2021-03-08,enabled-active,blocked-bloque,0
2021-03-08,enabled-active,granted-autorise,0
2021-03-08,enabled-active,denied-refuse,0
2021-03-08,disabled-desactive,blocked-bloque,0
2021-03-08,disabled-desactive,granted-autorise,0
2021-03-08,disabled-desactive,denied-refuse,0
2021-03-09,enabled-active,blocked-bloque,0
2021-03-09,enabled-active,granted-autorise,0
2021-03-09,enabled-active,denied-refuse,0
2021-03-09,disabled-desactive,blocked-bloque,0
2021-03-09,disabled-desactive,granted-autorise,0
2021-03-09,disabled-desactive,denied-refuse,0
2021-03-10,enabled-active,blocked-bloque,0
2021-03-10,enabled-active,granted-autorise,0
2021-03-10,enabled-active,denied-refuse,0
2021-03-10,disabled-desactive,blocked-bloque,0
2021-03-10,disabled-desactive,granted-autorise,0
2021-03-10,disabled-desactive,denied-refuse,0
2021-03-11,enabled-active,blocked-bloque,0
2021-03-11,enabled-active,granted-autorise,0
2021-03-11,enabled-active,denied-refuse,0
2021-03-11,disabled-desactive,blocked-bloque,0
2021-03-11,disabled-desactive,granted-autorise,0
2021-03-11,disabled-desactive,denied-refuse,0
2021-03-12,enabled-active,blocked-bloque,0
2021-03-12,enabled-active,granted-autorise,2
2021-03-12,enabled-active,denied-refuse,0
2021-03-12,disabled-desactive,blocked-bloque,0
2021-03-12,disabled-desactive,granted-autorise,0
2021-03-12,disabled-desactive,denied-refuse,0
2021-03-13,enabled-active,blocked-bloque,0
2021-03-13,enabled-active,granted-autorise,0
2021-03-13,enabled-active,denied-refuse,0
2021-03-13,disabled-desactive,blocked-bloque,0
2021-03-13,disabled-desactive,granted-autorise,0
2021-03-13,disabled-desactive,denied-refuse,0
2021-03-14,enabled-active,blocked-bloque,0
2021-03-14,enabled-active,granted-autorise,0
2021-03-14,enabled-active,denied-refuse,0
2021-03-14,disabled-desactive,blocked-bloque,0
2021-03-14,disabled-desactive,granted-autorise,0
2021-03-14,disabled-desactive,denied-refuse,0
2021-03-15,enabled-active,blocked-bloque,0
2021-03-15,enabled-active,granted-autorise,0
2021-03-15,enabled-active,denied-refuse,0
2021-03-15,disabled-desactive,blocked-bloque,0
2021-03-15,disabled-desactive,granted-autorise,0
2021-03-15,disabled-desactive,denied-refuse,0
2021-03-16,enabled-active,blocked-bloque,0
2021-03-16,enabled-active,granted-autorise,0
2021-03-16,enabled-active,denied-refuse,0
2021-03-16,disabled-desactive,blocked-bloque,0
2021-03-16,disabled-desactive,granted-autorise,0
2021-03-16,disabled-desactive,denied-refuse,0
2021-03-17,enabled-active,blocked-bloque,0
2021-03-17,enabled-active,granted-autorise,0
2021-03-17,enabled-active,denied-refuse,0
2021-03-17,disabled-desactive,blocked-bloque,0
2021-03-17,disabled-desactive,granted-autorise,0
2021-03-17,disabled-desactive,denied-refuse,0
2021-03-18,enabled-active,blocked-bloque,0
2021-03-18,enabled-active,granted-autorise,0
2021-03-18,enabled-active,denied-refuse,0
2021-03-18,disabled-desactive,blocked-bloque,0
2021-03-18,disabled-desactive,granted-autorise,0
2021-03-18,disabled-desactive,denied-refuse,0
2021-03-19,enabled-active,blocked-bloque,0
2021-03-19,enabled-active,granted-autorise,0
2021-03-19,enabled-active,denied-refuse,0
2021-03-19,disabled-desactive,blocked-bloque,0
2021-03-19,disabled-desactive,granted-autorise,0
2021-03-19,disabled-desactive,denied-refuse,0
2021-03-20,enabled-active,blocked-bloque,0
2021-03-20,enabled-active,granted-autorise,0
2021-03-20,enabled-active,denied-refuse,0
2021-03-20,disabled-desactive,blocked-bloque,0
2021-03-20,disabled-desactive,granted-autorise,0
2021-03-20,disabled-desactive,denied-refuse,0
2021-03-21,enabled-active,blocked-bloque,0
2021-03-21,enabled-active,granted-autorise,0
2021-03-21,enabled-active,denied-refuse,0
2021-03-21,disabled-desactive,blocked-bloque,0
2021-03-21,disabled-desactive,granted-autorise,0
2021-03-21,disabled-desactive,denied-refuse,0
2021-03-22,enabled-active,blocked-bloque,0
2021-03-22,enabled-active,granted-autorise,1
2021-03-22,enabled-active,denied-refuse,0
2021-03-22,disabled-desactive,blocked-bloque,0
2021-03-22,disabled-desactive,granted-autorise,0
2021-03-22,disabled-desactive,denied-refuse,0
2021-03-23,enabled-active,blocked-bloque,0
2021-03-23,enabled-active,granted-autorise,3
2021-03-23,enabled-active,denied-refuse,0
2021-03-23,disabled-desactive,blocked-bloque,0
2021-03-23,disabled-desactive,granted-autorise,0
2021-03-23,disabled-desactive,denied-refuse,0
2021-03-24,enabled-active,blocked-bloque,0
2021-03-24,enabled-active,granted-autorise,13
