date,count-nombre
2021-04-29,2
2021-04-30,26
2021-05-01,0
2021-05-02,0
2021-05-03,14
2021-05-04,54
2021-05-05,13
2021-05-06,2
2021-05-07,9
2021-05-08,0
2021-05-09,0
2021-05-10,42
2021-05-11,43
2021-05-12,58
2021-05-13,13
2021-05-14,2
2021-05-15,0
2021-05-16,0
2021-05-17,0
2021-05-18,1
2021-05-19,0
2021-05-20,3
2021-05-21,5
2021-05-22,0
2021-05-23,0
2021-05-24,0
2021-05-25,6
2021-05-26,1
2021-05-27,3
2021-05-28,0
2021-05-29,0
2021-05-30,0
2021-05-31,0
2021-06-01,0
2021-06-02,0
2021-06-03,0
2021-06-04,0
2021-06-05,0
2021-06-06,0
2021-06-07,0
2021-06-08,0
2021-06-09,0
2021-06-10,0
2021-06-11,0
2021-06-12,0
2021-06-13,0
2021-06-14,2
2021-06-15,3
2021-06-16,0
2021-06-17,3
2021-06-18,2
2021-06-19,0
2021-06-20,0
2021-06-21,0
2021-06-22,11
2021-06-23,38
2021-06-24,14
2021-06-25,1
2021-06-26,0
