date,os-se,count-nombre
2021-02-28,android,3
2021-02-28,ios,4
2021-03-31,android,5
2021-03-31,ios,3
2021-04-30,android,5
2021-04-30,ios,5
2021-05-31,android,10
2021-05-31,ios,147927
2021-06-30,android,5
2021-06-30,ios,6238
2021-07-31,android,11
2021-07-31,ios,2372
2021-08-31,android,8
2021-08-31,ios,1559
2021-09-30,android,4
2021-09-30,ios,1077
2021-10-31,android,1
2021-10-31,ios,867
2021-11-30,android,1
2021-11-30,ios,661
2021-12-31,android,1
2021-12-31,ios,504
2022-01-31,android,1
2022-01-31,ios,397
2022-02-28,android,0
2022-02-28,ios,346
2022-03-31,android,1
2022-03-31,ios,319
