date,number_of_checks-no_verification,count-nombre
2021-03-31,0,0
2021-03-31,1-6,7
2021-03-31,7-12,12
2021-03-31,13-30,16
2021-03-31,30+,7
2021-04-30,0,0
2021-04-30,1-6,18
2021-04-30,7-12,31
2021-04-30,13-30,12
2021-04-30,30+,1
2021-05-31,0,0
2021-05-31,1-6,108
2021-05-31,7-12,163
2021-05-31,13-30,49
2021-05-31,30+,12
2021-06-30,0,0
2021-06-30,1-6,68
2021-06-30,7-12,118
2021-06-30,13-30,16
2021-06-30,30+,13
2021-07-31,0,0
2021-07-31,1-6,114
2021-07-31,7-12,219
2021-07-31,13-30,12
2021-07-31,30+,4
2021-08-31,0,0
2021-08-31,1-6,149
2021-08-31,7-12,165
2021-08-31,13-30,8
2021-08-31,30+,4
2021-09-30,0,0
2021-09-30,1-6,124
2021-09-30,7-12,138
2021-09-30,13-30,5
2021-09-30,30+,4
