date,os-se,app_version-version_appli,count-nombre
2021-02-28,android,1.2.1,15
2021-02-28,ios,1.2.1,10
2021-02-28,ios,9.9.9,5
2021-03-31,android,1.2.1,1
2021-03-31,android,1.2.2,5
2021-03-31,android,1.2.4,37
2021-03-31,android,1.2.5,5
2021-03-31,android,1.2.6,11
2021-03-31,android,9.9.9,185
2021-03-31,ios,1.2.2,1
2021-03-31,ios,9.9.9,63
2021-04-30,android,1.1.8,1
2021-04-30,android,1.2.0,8
2021-04-30,android,1.2.6,10
2021-04-30,android,1.2.7,7
2021-04-30,android,1.2.8,7
2021-04-30,android,1.2.9,20
2021-04-30,android,9.9.9,130
2021-04-30,ios,1.1.8,6
2021-04-30,ios,1.2.0,3
2021-04-30,ios,1.2.1,1
2021-04-30,ios,1.2.7,4
2021-04-30,ios,1.2.9,13
2021-04-30,ios,6.6.6,1
2021-04-30,ios,9.9.9,80
2021-05-31,android,1.1.8,21
2021-05-31,android,1.2.0,30
2021-05-31,android,1.2.8,7
2021-05-31,android,1.2.9,102
2021-05-31,android,1.2.10,7
2021-05-31,android,9.9.9,1
2021-05-31,ios,1.1.8,30
2021-05-31,ios,1.2.0,16
2021-05-31,ios,1.2.8,10
2021-05-31,ios,1.2.9,78
2021-05-31,ios,1.2.10,10
2021-05-31,ios,6.6.6,42
