date,framework_status,notification_permission,count
2021-02-28,enabled,blocked,<20
2021-02-28,enabled,granted,<20
2021-02-28,enabled,denied,<20
2021-02-28,disabled,blocked,<20
2021-02-28,disabled,granted,<20
2021-02-28,disabled,denied,<20
2021-03-31,enabled,blocked,<20
2021-03-31,enabled,granted,151
2021-03-31,enabled,denied,<20
2021-03-31,disabled,blocked,<20
2021-03-31,disabled,granted,24
2021-03-31,disabled,denied,<20
2021-04-30,enabled,blocked,<20
2021-04-30,enabled,granted,118
2021-04-30,enabled,denied,<20
2021-04-30,disabled,blocked,<20
2021-04-30,disabled,granted,32
2021-04-30,disabled,denied,<20
