date,os-se,app_version-version_appli,count-nombre
2021-02-28,android,1.2.1,12
2021-02-28,ios,1.2.1,10
2021-02-28,ios,9.9.9,2
2021-03-31,android,1.2.1,2
2021-03-31,android,1.2.2,5
2021-03-31,android,1.2.4,24
2021-03-31,android,1.2.6,6
2021-03-31,android,9.9.9,81
2021-03-31,ios,1.2.2,1
2021-03-31,ios,9.9.9,57
2021-04-30,android,1.2.0,8
2021-04-30,android,1.2.6,5
2021-04-30,android,1.2.7,2
2021-04-30,android,1.2.8,3
2021-04-30,android,1.2.9,9
2021-04-30,android,9.9.9,46
2021-04-30,ios,1.1.8,6
2021-04-30,ios,1.2.0,3
2021-04-30,ios,1.2.1,1
2021-04-30,ios,1.2.7,3
2021-04-30,ios,1.2.9,13
2021-04-30,ios,9.9.9,53
2021-05-31,android,1.1.8,13
2021-05-31,android,1.2.0,29
2021-05-31,android,1.2.8,7
2021-05-31,android,1.2.9,49
2021-05-31,android,1.2.10,6
2021-05-31,android,9.9.9,1
2021-05-31,ios,1.1.8,18
2021-05-31,ios,1.2.0,16
2021-05-31,ios,1.2.8,9
2021-05-31,ios,1.2.9,83
2021-05-31,ios,1.2.10,10
2021-05-31,ios,6.6.6,4
2021-06-30,android,1.1.8,4
2021-06-30,android,1.2.8,1
2021-06-30,android,2.0.0,52
2021-06-30,ios,1.1.8,31
2021-06-30,ios,1.2.9,1
2021-06-30,ios,1.2.10,4
2021-06-30,ios,2.0.0,49
2021-07-31,android,1.2.8,17
2021-07-31,android,2.0.0,20
2021-07-31,ios,1.2.8,2
2021-07-31,ios,2.0.0,17
