date,exposure_status-etat_verification,count-nombre
2021-03-31,exposed-expose,0
2021-03-31,monitoring-surveillance,1
2021-04-30,exposed-expose,0
2021-04-30,monitoring-surveillance,2
2021-05-31,exposed-expose,1
2021-05-31,monitoring-surveillance,8
2021-06-30,exposed-expose,0
2021-06-30,monitoring-surveillance,18
2021-07-31,exposed-expose,0
2021-07-31,monitoring-surveillance,3
2021-08-31,exposed-expose,0
2021-08-31,monitoring-surveillance,3
2021-09-30,exposed-expose,0
2021-09-30,monitoring-surveillance,8
2021-10-31,exposed-expose,0
2021-10-31,monitoring-surveillance,0
2021-11-30,exposed-expose,0
2021-11-30,monitoring-surveillance,1
2021-12-31,exposed-expose,0
2021-12-31,monitoring-surveillance,0
