date,os-se,app_version-version_appli,count-nombre
2021-02-28,android,1.2.1,3
2021-02-28,ios,1.2.1,4
2021-03-07,android,1.2.1,3
2021-03-07,ios,1.2.1,3
2021-03-14,android,1.2.2,1
2021-03-14,ios,1.2.2,1
2021-03-21,android,1.2.2,1
2021-03-28,android,1.2.2,1
2021-03-28,android,1.2.4,12
2021-04-04,android,1.2.2,1
2021-04-04,android,1.2.4,3
2021-04-04,android,1.2.5,5
2021-04-04,android,1.2.6,4
2021-04-11,android,1.2.6,3
2021-04-11,android,1.2.7,4
2021-04-11,ios,1.2.7,4
2021-04-18,android,1.2.7,3
2021-04-18,ios,1.2.7,4
2021-04-25,android,1.1.8,1
2021-05-02,android,1.2.0,4
2021-05-02,android,1.2.8,4
2021-05-02,android,1.2.9,7
2021-05-02,ios,1.1.8,3
2021-05-02,ios,1.2.0,3
2021-05-02,ios,1.2.1,1
2021-05-02,ios,1.2.9,9
2021-05-02,ios,6.6.6,1
2021-05-09,android,1.1.8,3
2021-05-09,android,1.2.0,2
2021-05-09,android,1.2.8,3
2021-05-09,android,1.2.9,10
2021-05-09,ios,1.1.8,3
2021-05-09,ios,1.2.0,2
2021-05-09,ios,1.2.8,3
2021-05-09,ios,1.2.9,16
2021-05-09,ios,6.6.6,6
2021-05-16,android,1.1.8,4
2021-05-16,android,1.2.0,4
2021-05-16,android,1.2.9,12
2021-05-16,ios,1.1.8,1
2021-05-16,ios,1.2.0,2
2021-05-16,ios,1.2.8,1
2021-05-16,ios,1.2.9,14
2021-05-16,ios,6.6.6,11
2021-05-23,android,1.1.8,5
2021-05-23,android,1.2.0,1
2021-05-23,android,1.2.8,1
2021-05-23,android,1.2.9,12
2021-05-23,android,1.2.10,5
2021-05-23,ios,1.1.8,2
2021-05-23,ios,1.2.0,1
2021-05-23,ios,1.2.8,1
2021-05-23,ios,1.2.9,599833
2021-05-23,ios,1.2.10,2
2021-05-30,android,1.1.8,1
2021-05-30,android,1.2.10,4
2021-05-30,android,2.0.0,1
2021-05-30,ios,1.1.8,1
2021-05-30,ios,1.2.8,1
2021-05-30,ios,1.2.9,52853
2021-05-30,ios,1.2.10,4
2021-05-30,ios,1.5.0,1
2021-05-30,ios,1.123.123,1
2021-06-06,android,1.2.10,1
2021-06-06,android,2.0.0,1
2021-06-06,ios,1.1.8,1
2021-06-06,ios,1.2.8,1
2021-06-06,ios,1.2.9,12051
2021-06-06,ios,1.2.10,2
2021-06-06,ios,1.4.1,4
2021-06-13,android,1.2.10,1
2021-06-13,android,2.0.0,1
2021-06-13,ios,1.1.8,1
2021-06-13,ios,1.2.8,1
2021-06-13,ios,1.2.9,6891
2021-06-13,ios,1.4.1,1
2021-06-20,android,1.1.8,3
2021-06-20,android,1.2.8,1
2021-06-20,android,1.2.10,1
2021-06-20,android,2.0.0,1
2021-06-20,ios,1.1.8,4
2021-06-20,ios,1.2.9,4839
2021-06-20,ios,1.2.10,1
2021-06-20,ios,1.3.1,2
2021-06-20,ios,1.4.1,1
2021-06-20,ios,2.0.0,2
2021-06-27,android,1.1.8,4
2021-06-27,android,1.2.8,1
2021-06-27,android,2.0.0,10
2021-06-27,ios,1.1.8,6
2021-06-27,ios,1.2.9,3843
2021-06-27,ios,2.0.0,13
2021-07-04,android,2.0.0,7
2021-07-04,ios,1.1.8,1
2021-07-04,ios,1.2.9,3153
2021-07-04,ios,2.0.0,14
2021-07-11,android,2.0.0,13
2021-07-11,ios,1.2.9,2665
2021-07-11,ios,2.0.0,14
2021-07-18,android,2.0.0,1
2021-07-18,ios,1.2.9,2332
2021-07-18,ios,2.0.0,10
2021-07-25,ios,1.2.8,1
2021-07-25,ios,1.2.9,2108
2021-07-25,ios,2.0.0,7
2021-08-01,android,1.2.8,16
2021-08-01,android,2.0.0,1
2021-08-01,ios,1.2.8,5
2021-08-01,ios,1.2.9,1893
2021-08-01,ios,2.0.0,7
2021-08-08,android,1.1.1,13
2021-08-08,android,1.2.8,21
2021-08-08,android,1.5.0,6
2021-08-08,android,1.5.1,10
2021-08-08,android,1.5.2,1
2021-08-08,android,2.0.0,1
2021-08-08,ios,1.2.9,1760
2021-08-08,ios,1.5.1,34
2021-08-08,ios,2.0.0,5
2021-08-15,android,1.5.0,1
2021-08-15,android,1.5.1,1
