date,number_of_checks-no_verification,count-nombre
2021-03-14,0,0
2021-03-14,1-6,1
2021-03-14,7-12,2
2021-03-14,13-30,2
2021-03-14,30+,0
2021-03-21,0,0
2021-03-21,1-6,2
2021-03-21,7-12,0
2021-03-21,13-30,1
2021-03-21,30+,0
2021-03-28,0,0
2021-03-28,1-6,4
2021-03-28,7-12,8
2021-03-28,13-30,12
2021-03-28,30+,6
2021-04-04,0,0
2021-04-04,1-6,0
2021-04-04,7-12,7
2021-04-04,13-30,2
2021-04-04,30+,1
2021-04-11,0,0
2021-04-11,1-6,7
2021-04-11,7-12,5
2021-04-11,13-30,4
2021-04-11,30+,0
2021-04-18,0,0
2021-04-18,1-6,10
2021-04-18,7-12,17
2021-04-18,13-30,3
2021-04-18,30+,0
2021-04-25,0,0
2021-04-25,1-6,0
2021-04-25,7-12,0
2021-04-25,13-30,0
2021-04-25,30+,0
2021-05-02,0,0
2021-05-02,1-6,8
2021-05-02,7-12,9
2021-05-02,13-30,5
2021-05-02,30+,5
2021-05-09,0,0
2021-05-09,1-6,32
2021-05-09,7-12,51
2021-05-09,13-30,19
2021-05-09,30+,4
2021-05-16,0,0
2021-05-16,1-6,40
2021-05-16,7-12,56
2021-05-16,13-30,13
2021-05-16,30+,3
2021-05-23,0,0
2021-05-23,1-6,18
2021-05-23,7-12,22
2021-05-23,13-30,4
2021-05-23,30+,0
2021-05-30,0,0
2021-05-30,1-6,10
2021-05-30,7-12,20
2021-05-30,13-30,10
2021-05-30,30+,1
2021-06-06,0,0
2021-06-06,1-6,1
2021-06-06,7-12,8
2021-06-06,13-30,5
2021-06-06,30+,1
2021-06-13,0,0
2021-06-13,1-6,3
2021-06-13,7-12,8
2021-06-13,13-30,1
2021-06-13,30+,3
2021-06-20,0,0
2021-06-20,1-6,13
2021-06-20,7-12,18
2021-06-20,13-30,0
2021-06-20,30+,0
2021-06-27,0,0
2021-06-27,1-6,20
2021-06-27,7-12,24
2021-06-27,13-30,6
2021-06-27,30+,8
2021-07-04,0,0
2021-07-04,1-6,31
2021-07-04,7-12,35
2021-07-04,13-30,9
2021-07-04,30+,3
2021-07-11,0,0
2021-07-11,1-6,32
2021-07-11,7-12,48
2021-07-11,13-30,5
2021-07-11,30+,2
2021-07-18,0,0
2021-07-18,1-6,17
2021-07-18,7-12,40
2021-07-18,13-30,1
2021-07-18,30+,0
2021-07-25,0,0
2021-07-25,1-6,6
2021-07-25,7-12,33
2021-07-25,13-30,0
2021-07-25,30+,0
2021-08-01,0,0
2021-08-01,1-6,15
2021-08-01,7-12,28
2021-08-01,13-30,2
2021-08-01,30+,0
2021-08-08,0,0
2021-08-08,1-6,14
2021-08-08,7-12,23
2021-08-08,13-30,1
2021-08-08,30+,1
2021-08-15,0,0
2021-08-15,1-6,45
2021-08-15,7-12,33
2021-08-15,13-30,3
2021-08-15,30+,3
2021-08-22,0,0
2021-08-22,1-6,28
2021-08-22,7-12,28
2021-08-22,13-30,2
2021-08-22,30+,0
2021-08-29,0,0
2021-08-29,1-6,23
2021-08-29,7-12,44
2021-08-29,13-30,2
2021-08-29,30+,0
2021-09-05,0,0
2021-09-05,1-6,12
2021-09-05,7-12,48
2021-09-05,13-30,0
2021-09-05,30+,0
2021-09-12,0,0
2021-09-12,1-6,16
2021-09-12,7-12,21
2021-09-12,13-30,0
2021-09-12,30+,0
2021-09-19,0,0
2021-09-19,1-6,28
2021-09-19,7-12,30
2021-09-19,13-30,3
2021-09-19,30+,1
