date,number_of_checks-no_verification,os-se,count-nombre
2021-03-14,0,android,0
2021-03-14,0,ios,0
2021-03-14,1-6,android,1
2021-03-14,1-6,ios,0
2021-03-14,7-12,android,2
2021-03-14,7-12,ios,0
2021-03-14,13-30,android,2
2021-03-14,13-30,ios,0
2021-03-14,30+,android,0
2021-03-14,30+,ios,0
2021-03-21,0,android,0
2021-03-21,0,ios,0
2021-03-21,1-6,android,2
2021-03-21,1-6,ios,0
2021-03-21,7-12,android,0
2021-03-21,7-12,ios,0
2021-03-21,13-30,android,1
2021-03-21,13-30,ios,0
2021-03-21,30+,android,0
2021-03-21,30+,ios,0
2021-03-28,0,android,0
2021-03-28,0,ios,0
2021-03-28,1-6,android,4
2021-03-28,1-6,ios,0
2021-03-28,7-12,android,8
2021-03-28,7-12,ios,0
2021-03-28,13-30,android,12
2021-03-28,13-30,ios,0
2021-03-28,30+,android,6
2021-03-28,30+,ios,0
2021-04-04,0,android,0
2021-04-04,0,ios,0
2021-04-04,1-6,android,0
2021-04-04,1-6,ios,0
2021-04-04,7-12,android,7
2021-04-04,7-12,ios,0
2021-04-04,13-30,android,2
2021-04-04,13-30,ios,0
2021-04-04,30+,android,1
2021-04-04,30+,ios,0
2021-04-11,0,android,0
2021-04-11,0,ios,0
2021-04-11,1-6,android,3
2021-04-11,1-6,ios,4
2021-04-11,7-12,android,0
2021-04-11,7-12,ios,5
2021-04-11,13-30,android,4
2021-04-11,13-30,ios,0
2021-04-11,30+,android,0
2021-04-11,30+,ios,0
2021-04-18,0,android,0
2021-04-18,0,ios,0
2021-04-18,1-6,android,5
2021-04-18,1-6,ios,5
2021-04-18,7-12,android,2
2021-04-18,7-12,ios,15
2021-04-18,13-30,android,0
2021-04-18,13-30,ios,3
2021-04-18,30+,android,0
2021-04-18,30+,ios,0
2021-04-25,0,android,0
2021-04-25,0,ios,0
2021-04-25,1-6,android,0
2021-04-25,1-6,ios,0
2021-04-25,7-12,android,0
2021-04-25,7-12,ios,0
2021-04-25,13-30,android,0
2021-04-25,13-30,ios,0
2021-04-25,30+,android,0
2021-04-25,30+,ios,0
2021-05-02,0,android,0
2021-05-02,0,ios,0
2021-05-02,1-6,android,1
2021-05-02,1-6,ios,7
2021-05-02,7-12,android,2
2021-05-02,7-12,ios,7
2021-05-02,13-30,android,1
2021-05-02,13-30,ios,4
2021-05-02,30+,android,5
2021-05-02,30+,ios,0
2021-05-09,0,android,0
2021-05-09,0,ios,0
2021-05-09,1-6,android,9
2021-05-09,1-6,ios,23
2021-05-09,7-12,android,3
2021-05-09,7-12,ios,48
