date,number_of_checks-no_verification,os-se,app_version-version_appli,count-nombre
2021-03-14,1-6,android,1.2.2,1
2021-03-14,13-30,android,1.2.2,2
2021-03-14,7-12,android,1.2.2,2
2021-03-21,1-6,android,1.2.2,2
2021-03-21,13-30,android,1.2.2,1
2021-03-28,1-6,android,1.2.2,2
2021-03-28,1-6,android,1.2.4,2
2021-03-28,13-30,android,1.2.2,1
2021-03-28,13-30,android,1.2.4,11
2021-03-28,30+,android,1.2.2,3
2021-03-28,30+,android,1.2.4,3
2021-03-28,7-12,android,1.2.4,8
2021-04-04,13-30,android,1.2.2,1
2021-04-04,13-30,android,1.2.6,1
2021-04-04,30+,android,1.2.4,1
2021-04-04,7-12,android,1.2.2,2
2021-04-04,7-12,android,1.2.6,5
2021-04-11,1-6,android,1.2.7,3
2021-04-11,1-6,ios,1.2.7,4
2021-04-11,13-30,android,1.2.7,4
2021-04-11,7-12,ios,1.2.7,5
2021-04-18,1-6,android,1.2.7,5
2021-04-18,1-6,ios,1.2.7,5
2021-04-18,13-30,ios,1.2.7,3
2021-04-18,7-12,android,1.2.7,2
2021-04-18,7-12,ios,1.2.7,15
2021-05-02,1-6,android,1.2.9,1
2021-05-02,1-6,ios,1.2.9,7
2021-05-02,13-30,android,1.2.0,1
2021-05-02,13-30,ios,1.2.9,4
2021-05-02,30+,android,1.2.8,1
2021-05-02,30+,android,1.2.9,4
2021-05-02,7-12,android,1.2.8,1
2021-05-02,7-12,android,1.2.9,1
2021-05-02,7-12,ios,1.2.1,2
2021-05-02,7-12,ios,1.2.9,5
2021-05-09,1-6,android,1.2.9,9
2021-05-09,1-6,ios,1.2.0,3
2021-05-09,1-6,ios,1.2.8,1
2021-05-09,1-6,ios,1.2.9,19
2021-05-09,13-30,android,1.2.0,2
2021-05-09,13-30,android,1.2.8,1
2021-05-09,13-30,android,1.2.9,7
2021-05-09,13-30,ios,1.2.9,9
2021-05-09,30+,android,1.2.8,1
2021-05-09,30+,android,1.2.9,3
2021-05-09,7-12,android,1.2.9,3
2021-05-09,7-12,ios,1.2.9,48
2021-05-16,1-6,android,1.2.9,12
2021-05-16,1-6,ios,1.2.0,2
2021-05-16,1-6,ios,1.2.8,2
2021-05-16,1-6,ios,1.2.9,24
2021-05-16,13-30,android,1.2.9,7
2021-05-16,13-30,ios,1.2.0,1
2021-05-16,13-30,ios,1.2.9,5
2021-05-16,30+,android,1.2.9,3
2021-05-16,7-12,android,1.2.9,9
2021-05-16,7-12,ios,1.2.8,1
2021-05-16,7-12,ios,1.2.9,46
2021-05-23,1-6,android,1.2.8,1
2021-05-23,1-6,android,1.2.9,2
2021-05-23,1-6,android,1.2.10,2
2021-05-23,1-6,ios,1.2.9,3
2021-05-23,1-6,ios,1.2.10,10
2021-05-23,13-30,android,1.2.8,2
2021-05-23,13-30,android,1.2.10,1
2021-05-23,13-30,ios,1.2.10,1
2021-05-23,7-12,android,1.2.0,1
2021-05-23,7-12,android,1.2.10,1
2021-05-23,7-12,ios,1.2.9,3
2021-05-23,7-12,ios,1.2.10,17
2021-05-30,1-6,android,1.2.8,1
2021-05-30,1-6,android,1.2.10,3
2021-05-30,1-6,ios,1.2.8,2
2021-05-30,1-6,ios,1.2.10,4
2021-05-30,1-6,ios,2.0.0,1
2021-05-30,13-30,android,1.2.8,3
2021-05-30,13-30,ios,1.2.10,7
2021-05-30,30+,android,1.2.8,1
2021-05-30,7-12,android,1.2.8,2
2021-05-30,7-12,ios,1.2.8,1
2021-05-30,7-12,ios,1.2.10,17
2021-05-30,7-12,ios,2.0.0,6
