date,os-se,app_version-version_appli,count-nombre
2021-02-28,android,1.2.1,15
2021-02-28,ios,1.2.1,10
2021-02-28,ios,9.9.9,5
2021-03-07,android,1.2.1,1
2021-03-07,android,9.9.9,7
2021-03-07,ios,9.9.9,11
2021-03-14,android,1.2.2,1
2021-03-14,android,9.9.9,10
2021-03-14,ios,1.2.2,1
2021-03-14,ios,9.9.9,19
2021-03-21,android,9.9.9,91
2021-03-28,android,1.2.2,4
2021-03-28,android,1.2.4,35
2021-03-28,android,9.9.9,34
2021-03-28,ios,9.9.9,13
2021-04-04,android,1.2.4,2
2021-04-04,android,1.2.5,5
2021-04-04,android,1.2.6,12
2021-04-04,android,9.9.9,50
2021-04-04,ios,9.9.9,20
2021-04-11,android,1.2.6,9
2021-04-11,android,1.2.7,6
2021-04-11,android,9.9.9,47
2021-04-11,ios,1.2.7,4
2021-04-11,ios,9.9.9,6
2021-04-18,android,1.2.7,1
2021-04-18,android,9.9.9,17
2021-04-18,ios,9.9.9,5
2021-04-25,android,1.1.8,1
2021-04-25,android,9.9.9,26
2021-04-25,ios,9.9.9,18
2021-05-02,android,1.2.0,8
2021-05-02,android,1.2.8,7
2021-05-02,android,1.2.9,21
2021-05-02,android,9.9.9,33
2021-05-02,ios,1.1.8,6
2021-05-02,ios,1.2.0,3
2021-05-02,ios,1.2.1,1
2021-05-02,ios,1.2.9,13
2021-05-02,ios,6.6.6,1
2021-05-02,ios,9.9.9,51
2021-05-09,android,1.1.8,7
2021-05-09,android,1.2.0,9
2021-05-09,android,1.2.8,6
2021-05-09,android,1.2.9,40
2021-05-09,ios,1.1.8,17
2021-05-09,ios,1.2.0,11
2021-05-09,ios,1.2.8,8
2021-05-09,ios,1.2.9,29
2021-05-09,ios,6.6.6,11
2021-05-16,android,1.1.8,8
2021-05-16,android,1.2.0,17
2021-05-16,android,1.2.9,47
2021-05-16,ios,1.1.8,9
2021-05-16,ios,1.2.0,5
2021-05-16,ios,1.2.9,33
2021-05-16,ios,6.6.6,31
2021-05-23,android,1.1.8,5
2021-05-23,android,1.2.0,4
2021-05-23,android,1.2.8,1
2021-05-23,android,1.2.9,14
2021-05-23,android,1.2.10,6
2021-05-23,android,9.9.9,1
2021-05-23,ios,1.1.8,3
2021-05-23,ios,1.2.8,1
2021-05-23,ios,1.2.9,16
2021-05-23,ios,1.2.10,10
2021-05-30,android,1.1.8,1
2021-05-30,android,1.2.10,1
2021-05-30,ios,1.1.8,1
2021-05-30,ios,1.2.8,1
2021-06-06,ios,1.2.9,1
2021-06-06,ios,1.2.10,1
2021-06-13,ios,1.1.8,1
2021-06-13,ios,1.2.8,1
2021-06-13,ios,2.0.0,2
2021-06-20,android,1.1.8,2
2021-06-20,android,2.0.0,1
2021-06-20,ios,1.1.8,15
2021-06-20,ios,1.2.10,3
2021-06-20,ios,2.0.0,2
2021-06-27,android,1.1.8,3
2021-06-27,android,1.2.8,1
2021-06-27,android,2.0.0,67
2021-06-27,ios,1.1.8,19
2021-06-27,ios,2.0.0,31
2021-07-04,android,2.0.0,40
2021-07-04,ios,1.1.8,1
2021-07-04,ios,2.0.0,19
2021-07-11,android,2.0.0,16
2021-07-11,ios,2.0.0,9
2021-07-25,ios,1.2.8,1
2021-08-01,android,1.2.8,29
2021-08-01,android,2.0.0,2
2021-08-01,ios,1.2.8,20
2021-08-01,ios,2.0.0,1
