date,framework_status-etat_cadre,notification_permission-permission_notif,count-nombre
2021-02-28,enabled-active,blocked-bloque,0
2021-02-28,enabled-active,granted-autorise,14
2021-02-28,enabled-active,denied-refuse,0
2021-02-28,disabled-desactive,blocked-bloque,0
2021-02-28,disabled-desactive,granted-autorise,10
2021-02-28,disabled-desactive,denied-refuse,0
2021-03-07,enabled-active,blocked-bloque,0
2021-03-07,enabled-active,granted-autorise,14
2021-03-07,enabled-active,denied-refuse,0
2021-03-07,disabled-desactive,blocked-bloque,1
2021-03-07,disabled-desactive,granted-autorise,1
2021-03-07,disabled-desactive,denied-refuse,0
2021-03-14,enabled-active,blocked-bloque,0
2021-03-14,enabled-active,granted-autorise,21
2021-03-14,enabled-active,denied-refuse,0
2021-03-14,disabled-desactive,blocked-bloque,0
2021-03-14,disabled-desactive,granted-autorise,1
2021-03-14,disabled-desactive,denied-refuse,0
2021-03-21,enabled-active,blocked-bloque,0
2021-03-21,enabled-active,granted-autorise,34
2021-03-21,enabled-active,denied-refuse,0
2021-03-21,disabled-desactive,blocked-bloque,0
2021-03-21,disabled-desactive,granted-autorise,4
2021-03-21,disabled-desactive,denied-refuse,0
2021-03-28,enabled-active,blocked-bloque,0
2021-03-28,enabled-active,granted-autorise,51
2021-03-28,enabled-active,denied-refuse,0
2021-03-28,disabled-desactive,blocked-bloque,0
2021-03-28,disabled-desactive,granted-autorise,7
2021-03-28,disabled-desactive,denied-refuse,0
2021-04-04,enabled-active,blocked-bloque,0
2021-04-04,enabled-active,granted-autorise,34
2021-04-04,enabled-active,denied-refuse,0
2021-04-04,disabled-desactive,blocked-bloque,0
2021-04-04,disabled-desactive,granted-autorise,12
2021-04-04,disabled-desactive,denied-refuse,0
2021-04-11,enabled-active,blocked-bloque,0
2021-04-11,enabled-active,granted-autorise,21
2021-04-11,enabled-active,denied-refuse,0
2021-04-11,disabled-desactive,blocked-bloque,0
2021-04-11,disabled-desactive,granted-autorise,6
2021-04-11,disabled-desactive,denied-refuse,0
2021-04-18,enabled-active,blocked-bloque,0
2021-04-18,enabled-active,granted-autorise,10
2021-04-18,enabled-active,denied-refuse,0
2021-04-18,disabled-desactive,blocked-bloque,0
2021-04-18,disabled-desactive,granted-autorise,5
2021-04-18,disabled-desactive,denied-refuse,0
2021-04-25,enabled-active,blocked-bloque,0
2021-04-25,enabled-active,granted-autorise,21
2021-04-25,enabled-active,denied-refuse,0
2021-04-25,disabled-desactive,blocked-bloque,0
2021-04-25,disabled-desactive,granted-autorise,6
2021-04-25,disabled-desactive,denied-refuse,0
2021-05-02,enabled-active,blocked-bloque,0
2021-05-02,enabled-active,granted-autorise,65
2021-05-02,enabled-active,denied-refuse,0
2021-05-02,disabled-desactive,blocked-bloque,1
2021-05-02,disabled-desactive,granted-autorise,14
2021-05-02,disabled-desactive,denied-refuse,1
2021-05-09,enabled-active,blocked-bloque,0
2021-05-09,enabled-active,granted-autorise,87
2021-05-09,enabled-active,denied-refuse,0
2021-05-09,disabled-desactive,blocked-bloque,0
2021-05-09,disabled-desactive,granted-autorise,23
2021-05-09,disabled-desactive,denied-refuse,1
2021-05-16,enabled-active,blocked-bloque,0
2021-05-16,enabled-active,granted-autorise,71
2021-05-16,enabled-active,denied-refuse,0
2021-05-16,disabled-desactive,blocked-bloque,0
2021-05-16,disabled-desactive,granted-autorise,13
2021-05-16,disabled-desactive,denied-refuse,0
2021-05-23,enabled-active,blocked-bloque,0
2021-05-23,enabled-active,granted-autorise,35
2021-05-23,enabled-active,denied-refuse,0
2021-05-23,disabled-desactive,blocked-bloque,1
2021-05-23,disabled-desactive,granted-autorise,10
2021-05-23,disabled-desactive,denied-refuse,0
2021-05-30,enabled-active,blocked-bloque,0
2021-05-30,enabled-active,granted-autorise,2
2021-05-30,enabled-active,denied-refuse,0
2021-05-30,disabled-desactive,blocked-bloque,0
2021-05-30,disabled-desactive,granted-autorise,0
2021-05-30,disabled-desactive,denied-refuse,0
