date,region,os-se,count-nombre
2021-04-04,AB,android,0
2021-04-04,AB,ios,0
2021-04-04,BC,android,0
2021-04-04,BC,ios,0
2021-04-04,MB,android,0
2021-04-04,MB,ios,0
2021-04-04,NB,android,0
2021-04-04,NB,ios,0
2021-04-04,NL,android,0
2021-04-04,NL,ios,0
2021-04-04,NT,android,0
2021-04-04,NT,ios,0
2021-04-04,NS,android,0
2021-04-04,NS,ios,0
2021-04-04,NU,android,0
2021-04-04,NU,ios,0
2021-04-04,ON,android,1
2021-04-04,ON,ios,0
2021-04-04,PE,android,0
2021-04-04,PE,ios,0
2021-04-04,QC,android,0
2021-04-04,QC,ios,0
2021-04-04,SK,android,0
2021-04-04,SK,ios,0
2021-04-04,YT,android,0
2021-04-04,YT,ios,0
2021-04-04,npts-ptso,android,0
2021-04-04,npts-ptso,ios,0
2021-04-11,AB,android,0
2021-04-11,AB,ios,0
2021-04-11,BC,android,0
2021-04-11,BC,ios,0
2021-04-11,MB,android,0
2021-04-11,MB,ios,0
2021-04-11,NB,android,0
2021-04-11,NB,ios,0
2021-04-11,NL,android,0
2021-04-11,NL,ios,0
2021-04-11,NT,android,0
2021-04-11,NT,ios,0
2021-04-11,NS,android,0
2021-04-11,NS,ios,0
2021-04-11,NU,android,0
2021-04-11,NU,ios,0
2021-04-11,ON,android,1
2021-04-11,ON,ios,0
2021-04-11,PE,android,0
2021-04-11,PE,ios,0
2021-04-11,QC,android,0
2021-04-11,QC,ios,0
2021-04-11,SK,android,0
2021-04-11,SK,ios,0
2021-04-11,YT,android,0
2021-04-11,YT,ios,0
2021-04-11,npts-ptso,android,0
2021-04-11,npts-ptso,ios,0
2021-04-18,AB,android,0
2021-04-18,AB,ios,0
2021-04-18,BC,android,0
2021-04-18,BC,ios,0
2021-04-18,MB,android,0
2021-04-18,MB,ios,0
2021-04-18,NB,android,0
2021-04-18,NB,ios,0
2021-04-18,NL,android,0
2021-04-18,NL,ios,0
2021-04-18,NT,android,0
2021-04-18,NT,ios,0
2021-04-18,NS,android,0
2021-04-18,NS,ios,0
2021-04-18,NU,android,0
2021-04-18,NU,ios,0
2021-04-18,ON,android,0
2021-04-18,ON,ios,0
2021-04-18,PE,android,0
2021-04-18,PE,ios,0
2021-04-18,QC,android,0
2021-04-18,QC,ios,0
2021-04-18,SK,android,0
2021-04-18,SK,ios,0
2021-04-18,YT,android,0
2021-04-18,YT,ios,0
2021-04-18,npts-ptso,android,0
2021-04-18,npts-ptso,ios,0
2021-04-25,AB,android,0
2021-04-25,AB,ios,0
2021-04-25,BC,android,0
2021-04-25,BC,ios,0
2021-04-25,MB,android,0
2021-04-25,MB,ios,0
2021-04-25,NB,android,0
2021-04-25,NB,ios,0
2021-04-25,NL,android,0
2021-04-25,NL,ios,0
2021-04-25,NT,android,0
2021-04-25,NT,ios,0
2021-04-25,NS,android,0
2021-04-25,NS,ios,0
2021-04-25,NU,android,0
2021-04-25,NU,ios,0
2021-04-25,ON,android,0
2021-04-25,ON,ios,0
2021-04-25,PE,android,0
2021-04-25,PE,ios,0
2021-04-25,QC,android,0
2021-04-25,QC,ios,0
2021-04-25,SK,android,0
2021-04-25,SK,ios,0
2021-04-25,YT,android,0
2021-04-25,YT,ios,0
2021-04-25,npts-ptso,android,0
2021-04-25,npts-ptso,ios,0
2021-05-02,AB,android,0
2021-05-02,AB,ios,0
2021-05-02,BC,android,0
2021-05-02,BC,ios,0
2021-05-02,MB,android,0
2021-05-02,MB,ios,0
2021-05-02,NB,android,0
2021-05-02,NB,ios,0
2021-05-02,NL,android,0
2021-05-02,NL,ios,0
2021-05-02,NT,android,0
2021-05-02,NT,ios,0
2021-05-02,NS,android,0
2021-05-02,NS,ios,0
2021-05-02,NU,android,0
2021-05-02,NU,ios,0
2021-05-02,ON,android,1
2021-05-02,ON,ios,0
2021-05-02,PE,android,0
2021-05-02,PE,ios,0
2021-05-02,QC,android,0
2021-05-02,QC,ios,0
2021-05-02,SK,android,0
2021-05-02,SK,ios,0
2021-05-02,YT,android,0
2021-05-02,YT,ios,0
2021-05-02,npts-ptso,android,0
2021-05-02,npts-ptso,ios,0
2021-05-09,AB,android,0
2021-05-09,AB,ios,0
2021-05-09,BC,android,0
2021-05-09,BC,ios,0
2021-05-09,MB,android,0
2021-05-09,MB,ios,0
2021-05-09,NB,android,0
2021-05-09,NB,ios,0
2021-05-09,NL,android,0
2021-05-09,NL,ios,0
2021-05-09,NT,android,0
2021-05-09,NT,ios,0
2021-05-09,NS,android,0
2021-05-09,NS,ios,0
